Hududlar;Территории;Territories;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Qoraqalpog`iston Respublikasi;Республика Каракалпакстан;Republic of Karakalpakstan;-;35;-;-;-;30;400;-;-;-;560;1045;1055;1330;1000;800;325;135;75;90
Andijon;Андижанская;Andijan;-;-;120;-;-;-;-;-;-;-;-;320;360;1175;755;900;1010;785;830;1185
Buxoro;Бухарская;Bukhara;-;-;-;-;-;50;-;-;-;-;40;;230;190;690;437;765;277;754;416
Jizzax;Джизакская;Jizzakh;-;-;-;-;-;-;-;180;-;-;60;40;485;271;615;420;350;271;-;110
Qashqadaryo;Кашкадарьинская;Kashkadarya;105;20;-;-;-;-;55;-;225;-;260;420;450;340;821;559;1355;395;395;508
Navoiy;Навоийская;Navoi;-;-;-;-;-;-;-;-;60;-;60;160;385;190;408;390;645;160;280;90
Namangan;Наманганская;Namangan;220;40;-;60;-;-;-;-;-;160;-;450;390;585;715;630;960;310;400;600
Samarqand;Самаркандская;Samarkand;-;-;30;-;60;506;20;-;-;-;30;150;415;1890;1375;780;750;340;967;145
Surxondaryo;Сурхандарьинская;Surkhandarya;-;90;60;-;-;-;-;-;80;-;215;815;690;905;710;925;820;552;895;420
Sirdaryo;Сырдарьинская;Syrdarya;-;220;-;100;-;-;-;-;25;-;130;243;215;235;327;400;295;80;350;643
Toshkent;Ташкентская ;Tashkent;-;175;-;-;-;-;-;60;140;-;790;150;250;630;430;905;558;180;490;1414
Farg`ona;Ферганская ;Ferghana;-;210;-;-;-;-;-;-;-;-;-;355;695;795;700;1585;776;135;365;900
Xorazm;Хорезмская;Khorezm;165;-;90;-;-;220;-;-;-;-;105;530;190;760;545;950;942;273;240;220
Toshkent sh;г.Ташкент;Tashkent city;180;-;-;-;120;96;-;-;-;76;270;73;287;239;920;630;530;375;82;641